Rank,Player,Team,Primary_Pos,PA,TBF,gBATT,gBASER,gPITCH,gFIELD,gCATCH,gWAR
1,Shohei Ohtani,LAD,DH/SP,650,720,6.4,0.0,4.2,0.0,0.0,10.6
2,Aaron Judge,NYY,RF,680,0,8.3,0.0,0.0,0.3,0.0,8.6
3,Cal Raleigh,SEA,C,610,1180,3.3,0.3,0.0,1.3,3.7,8.6
4,Paul Skenes,PIT,SP,0,752,0.0,0.0,8.1,0.2,0.0,8.3
5,Bobby Witt Jr.,KC,SS,690,0,5.9,0.0,0.0,1.9,0.0,7.8
6,Tarik Skubal,DET,SP,0,740,0.0,0.0,7.4,0.1,0.0,7.5
7,Chris Sale,ATL,SP,0,710,0.0,0.0,7.3,0.0,0.0,7.3
8,Gunnar Henderson,BAL,SS,685,0,5.5,0.0,0.0,1.6,0.0,7.1
9,Zack Wheeler,PHI,SP,0,735,0.0,0.0,6.8,0.2,0.0,7.0
10,Corbin Burnes,BAL,SP,0,720,0.0,0.0,6.8,0.1,0.0,6.9
11,Framber Valdez,HOU,SP,0,730,0.0,0.0,6.7,0.2,0.0,6.9
12,Mookie Betts,LAD,SS/RF,670,0,5.8,0.0,0.0,1.0,0.0,6.8
13,Logan Gilbert,SEA,SP,0,725,0.0,0.0,6.4,0.1,0.0,6.5
14,William Contreras,MIL,C,620,1050,4.2,0.0,0.0,0.6,1.5,6.3
15,Juan Soto,NYM,RF,690,0,6.0,0.0,0.0,0.2,0.0,6.2
16,Elly De La Cruz,CIN,SS,665,0,4.1,0.0,0.0,1.4,0.0,5.5
17,José Ramírez,CLE,3B,675,0,4.8,0.0,0.0,0.6,0.0,5.4
18,Freddie Freeman,LAD,1B,680,0,5.1,0.0,0.0,0.2,0.0,5.3
19,Francisco Lindor,NYM,SS,690,0,4.3,0.0,0.0,0.9,0.0,5.2
20,Yordan Alvarez,HOU,DH,640,0,5.0,0.0,0.0,0.0,0.0,5.0
